source_record_id,scientific_name,common_name,normalized_scientific,normalized_common
"openfarm:phlo-nivalis-hentzii:hentz-phlox:68285","Phlox nivalis ssp. hentzii","Hentz's phlox","phlo nivalis","hentz phlox"
"openfarm:gyrosigma-acuminatum:unknown:42781","Gyrosigma acuminatum","","gyrosigma acuminatum",""
"openfarm:diphyscium-cumberlandianum:cumberland-diphyscium-moss:30135","Diphyscium cumberlandianum","Cumberland diphyscium moss","diphyscium cumberlandianum","cumberland diphyscium moss"
"openfarm:aloe-aristata:unknown:4304","Aloe aristata","","aloe aristata",""
"openfarm:populus-deltoides:eastern-cottonwood-cottonwood-eastern-poplar-yellow-cottonwood-water-poplar-necklace-poplar-peuplier-amerique-choupo-america:72119","Populus deltoides","eastern cottonwood, cottonwood, eastern poplar, yellow cottonwood, water poplar, necklace poplar, peuplier d'Amerique, choupo da America","populus deltoides","eastern cottonwood cottonwood eastern poplar yellow cottonwood water poplar necklace poplar peuplier amerique choupo america"
"openfarm:silene-campanulata-greenei:greene-catchfly:82894","Silene campanulata ssp. greenei","Greene's catchfly","silene campanulata","greene catchfly"
"openfarm:tephrosia-polystachya-polystachya:unknown:88635","Tephrosia polystachya var. polystachya","","tephrosia polystachya",""
"openfarm:cosmarium-logoense:unknown:23868","Cosmarium logoense","","cosmarium logoense",""
"openfarm:fraxinus-berlandierana:unknown:39370","Fraxinus berlandierana","","fraxinus berlandierana",""
"openfarm:prosopis-alba:unknown:72947","Prosopis alba","","prosopis alba",""
"openfarm:centaurium-sebaeoides:awiwi-lavaslope-centaury-awiwi:17754","Centaurium sebaeoides","awiwi, lavaslope centaury, `Awiwi","centaurium sebaeoides","awiwi lavaslope centaury awiwi"
"openfarm:acacia-luederitzii-retinens:belly-thorn-black-thorn-hook-thorn-rooi-wag-bietjie-swarthaak-swarthakiesdoring-blouhaak-haakdoring-buikdoring-mongana-moswana:652","Acacia luederitzii var. retinens","belly thorn, black thorn, hook thorn, rooi-wag- 'n-bietjie, swarthaak, swarthakiesdoring, blouhaak, haakdoring, buikdoring, mongana-moswana","acacia luederitzii","belly thorn black thorn hook thorn rooi wag bietjie swarthaak swarthakiesdoring blouhaak haakdoring buikdoring mongana moswana"
"openfarm:sophora-prostrata:unknown:84108","Sophora prostrata","","sophora prostrata",""
"openfarm:rhus-glauca:unknown:76424","Rhus glauca","","rhus glauca",""
"openfarm:impatiens:unknown:47302","Impatiens sp.","","impatiens",""
"openfarm:adhatoda-zeylanica:unknown:2100","Adhatoda zeylanica","","adhatoda zeylanica",""
"openfarm:titonia-tubaetormis:unknown:90185","Titonia tubaetormis","","titonia tubaetormis",""
"openfarm:tittmannia-laxa-langebergensis:unknown:90189","Tittmannia laxa var. langebergensis","","tittmannia laxa",""
"openfarm:sunquat:unknown:87266","Sunquat","","sunquat",""
"openfarm:anthospermum-dregei-dregei:unknown:6532","Anthospermum dregei ssp. dregei","","anthospermum dregei",""
"openfarm:haemanthus-deformis:unknown:42927","Haemanthus deformis","","haemanthus deformis",""
"openfarm:ruschia-clavellata:unknown:78303","Ruschia clavellata","","ruschia clavellata",""
"openfarm:periploca:unknown:67183","Periploca","","periploca",""
"openfarm:dubautia-knudsenii-filiformis:forest-dubautia:31470","Dubautia knudsenii ssp. filiformis","forest dubautia","dubautia knudsenii","forest dubautia"
"openfarm:cynodontium-strumiferum:cynodontium-moss:26820","Cynodontium strumiferum","cynodontium moss","cynodontium strumiferum","cynodontium moss"
"openfarm:agathosma-squamosa:unknown:2734","Agathosma squamosa","","agathosma squamosa",""
"openfarm:polemonium-liniflorum:unknown:71305","Polemonium liniflorum","","polemonium liniflorum",""
"openfarm:sutera-comptonii:unknown:87378","Sutera comptonii","","sutera comptonii",""
"openfarm:adelia-ricinella:wild-lime:1958","Adelia ricinella","wild lime","adelia ricinella","lime"
"openfarm:scytosiphon-lomentaria-lomentaria:unknown:81256","Scytosiphon lomentaria var. lomentaria","","scytosiphon lomentaria",""
"openfarm:gymnopogon-ambiguus:bearded-skeletongrass:42652","Gymnopogon ambiguus","bearded skeletongrass","gymnopogon ambiguus","bearded skeletongrass"
"openfarm:ceratium-concilians:unknown:18157","Ceratium concilians","","ceratium concilians",""
"openfarm:solanum-adscendens:sonoita-nightshade:83443","Solanum adscendens","sonoita nightshade","solanum adscendens","sonoita nightshade"
"openfarm:hygrohypnum-cochlearifolium:hygrohypnum-moss:46514","Hygrohypnum cochlearifolium","hygrohypnum moss","hygrohypnum cochlearifolium","hygrohypnum moss"
"openfarm:hyptis-americana:american-bushmint:47115","Hyptis americana","American bushmint","hyptis americana","american bushmint"
"openfarm:muraltia-barkerae:unknown:59396","Muraltia barkerae","","muraltia barkerae",""
"openfarm:eriocaulon-hydrophilum:unknown:34872","Eriocaulon hydrophilum","","eriocaulon hydrophilum",""
"openfarm:festuca-scabriuscula:unknown:38432","Festuca scabriuscula","","festuca scabriuscula",""
"openfarm:chromulina-globosa:unknown:19787","Chromulina globosa","","chromulina globosa",""
"openfarm:oedogonium-pungens:unknown:62313","Oedogonium pungens","","oedogonium pungens",""
"openfarm:otholobium-pungens:unknown:63739","Otholobium pungens","","otholobium pungens",""
"openfarm:helosis-cayennensis:unknown:44375","Helosis cayennensis","","helosis cayennensis",""
